time,luminosity,timeErrPos,timeErrNeg,luminosityErrPos,luminosityErrNeg,index,indexErrPos,indexErrNeg
55.7819,2.06574e+50,0.245366,0.239636,3.75642e+49,3.39576e+49,1.81268,0.120096,-0.101237
56.214,2.36904e+50,0.206269,0.186384,4.88574e+49,4.35551e+49,1.75121,0.147707,-0.123949
56.5999,2.71045e+50,0.166835,0.179643,5.34766e+49,4.70123e+49,1.75348,0.133658,-0.11205
56.9717,2.31887e+50,0.209302,0.204921,4.58784e+49,4.05654e+49,1.7916,0.136617,-0.114057
57.4267,2.12893e+50,0.216717,0.245366,4.3822e+49,3.82828e+49,1.83277,0.143156,-0.119534
57.8517,2.73011e+50,0.162454,0.207954,5.26463e+49,4.63289e+49,1.8654,0.126571,-0.10666
58.2346,2.23345e+50,0.22211,0.220425,4.62583e+49,4.09961e+49,1.81905,0.148012,-0.124882
58.6138,2.84234e+50,0.12639,0.157398,5.90216e+49,5.14974e+49,1.49945,0.149997,-0.121571
58.9063,2.44975e+50,0.129761,0.165824,5.73912e+49,4.87836e+49,1.32579,0.178224,-0.143659
59.1645,2.65999e+50,0.149646,0.12875,5.11263e+49,4.50072e+49,1.35652,0.129483,-0.10713
59.4702,2.42849e+50,0.15032,0.15605,4.92128e+49,4.32944e+49,1.37266,0.141491,-0.118607
59.7819,2.05529e+50,0.19818,0.161443,3.79815e+49,3.36677e+49,1.355,0.118979,-0.0998738
60.1105,2.54321e+50,0.157398,0.130435,5.41138e+49,4.75197e+49,1.3494,0.153615,-0.129025
60.4314,2.42889e+50,0.153691,0.163465,4.44494e+49,3.97985e+49,1.42154,0.120857,-0.100978
60.727,2.72814e+50,0.142568,0.141557,6.22901e+49,5.41802e+49,1.48766,0.170797,-0.142227
61.0455,2.00583e+50,0.214021,0.175935,3.83327e+49,3.36894e+49,1.49192,0.125231,-0.104309
61.4712,1.89959e+50,0.202562,0.211999,4.2842e+49,3.72083e+49,1.49354,0.168121,-0.14011
